epoch,t,reachable,roles_running,fenced
1785942570,2,1,41,0
1785942573,6,1,41,0
1785942577,9,1,41,0
1785942580,12,1,41,0
1785942583,16,1,41,0
1785942587,19,1,41,0
1785942590,22,1,41,0
1785942593,26,1,41,0
1785942597,29,1,41,0
1785942600,32,1,41,0
1785942603,36,1,41,0
1785942607,39,1,41,0
1785942610,46,0,41,0
1785942617,53,0,41,0
1785942624,60,0,41,0
1785942631,67,0,41,0
1785942638,74,0,41,0
1785942645,81,0,41,0
1785942652,88,0,41,0
1785942659,95,0,41,0
1785942666,102,0,41,0
1785942673,109,0,41,0
1785942680,116,0,41,0
1785942687,123,0,41,0
1785942694,130,0,41,0
1785942701,137,0,41,0
1785942708,144,0,41,0
1785942715,151,0,41,0
1785942722,158,0,41,0
1785942729,165,0,41,0
1785942736,172,0,41,0
1785942743,179,0,41,0
1785942750,186,0,41,0
1785942757,193,0,41,0
1785942764,200,0,41,0
1785942771,204,1,41,0
1785942775,208,1,52,0
1785942779,212,1,17,0
1785942783,215,1,26,0
1785942786,219,1,27,0
1785942790,222,1,27,0
1785942793,226,1,27,0
1785942797,229,1,27,0
1785942800,232,1,27,0
1785942803,236,1,27,0
1785942807,239,1,27,0
1785942810,243,1,27,0
1785942814,246,1,27,0
1785942817,249,1,27,0
1785942820,253,1,27,0
1785942824,256,1,27,0
1785942827,259,1,27,0
1785942830,263,1,27,0
1785942834,266,1,27,0
1785942837,270,1,27,0
1785942841,273,1,27,0
1785942844,276,1,27,0
1785942847,280,1,27,0
1785942851,283,1,27,0
1785942854,286,1,27,0
1785942857,290,1,27,0
1785942861,293,1,27,0
1785942864,297,1,27,0
1785942868,300,1,27,0
