epoch,t,reachable,roles_running,fenced
1785942883,2,1,27,0
1785942886,6,1,27,0
1785942890,9,1,27,0
1785942893,12,1,27,0
1785942896,16,1,27,0
1785942900,19,1,27,0
1785942903,22,1,27,0
1785942906,26,1,27,0
1785942910,29,1,27,0
1785942913,32,1,27,0
1785942916,35,1,27,0
1785942920,39,1,27,0
1785942923,46,0,27,0
1785942930,53,0,27,0
1785942937,60,0,27,0
1785942944,67,0,27,0
1785942951,74,0,27,0
1785942958,81,0,27,0
1785942965,88,0,27,0
1785942972,94,0,0,1
1785942978,98,0,0,1
1785942982,103,0,0,1
1785942987,108,0,0,1
1785942992,113,0,0,1
1785942997,118,0,0,1
1785943002,123,0,0,1
1785943007,128,0,0,1
1785943012,133,0,0,1
1785943017,138,0,0,1
1785943022,143,0,0,1
1785943027,148,0,0,1
1785943032,153,0,0,1
1785943037,158,0,0,1
1785943042,163,0,0,1
1785943047,168,0,0,1
1785943052,173,0,0,1
1785943057,178,0,0,1
1785943062,183,0,0,1
1785943067,188,0,0,1
1785943072,193,0,0,1
1785943077,198,0,0,1
1785943082,203,0,0,1
1785943087,206,1,0,1
1785943090,207,1,0,1
1785943091,208,1,0,1
1785943092,209,1,0,1
1785943093,210,1,0,1
1785943094,211,1,0,1
1785943095,213,1,0,1
1785943097,214,1,0,1
1785943098,215,1,0,1
1785943099,216,1,0,1
1785943100,217,1,0,1
1785943101,218,1,0,1
1785943102,219,1,0,1
1785943103,221,1,0,1
1785943105,222,1,0,1
1785943106,223,1,0,1
1785943107,224,1,0,1
1785943108,225,1,0,1
1785943109,226,1,0,1
1785943110,228,1,0,1
1785943112,229,1,0,1
1785943113,230,1,0,1
1785943114,231,1,0,1
1785943115,232,1,0,1
1785943116,233,1,0,1
1785943117,234,1,0,1
1785943118,236,1,0,1
1785943120,237,1,0,1
1785943121,238,1,0,1
1785943122,239,1,0,1
1785943123,240,1,0,1
1785943124,241,1,0,1
1785943125,242,1,0,1
1785943126,244,1,0,1
1785943128,245,1,0,1
1785943129,246,1,0,1
1785943130,247,1,0,1
1785943131,248,1,0,1
1785943132,249,1,0,1
1785943133,251,1,0,1
1785943135,252,1,0,1
1785943136,253,1,0,1
1785943137,254,1,0,1
1785943138,255,1,0,1
1785943139,256,1,0,1
1785943140,257,1,0,1
1785943141,259,1,0,1
1785943143,260,1,0,1
1785943144,261,1,0,1
1785943145,262,1,0,1
1785943146,263,1,0,1
1785943147,264,1,0,1
1785943148,265,1,0,1
1785943149,267,1,0,1
1785943151,268,1,0,1
1785943152,269,1,0,1
1785943153,270,1,0,1
1785943154,271,1,0,1
1785943155,272,1,0,1
1785943156,274,1,0,1
1785943158,275,1,0,1
1785943159,276,1,0,1
1785943160,277,1,0,1
1785943161,278,1,0,1
1785943162,279,1,0,1
1785943163,280,1,0,1
1785943164,282,1,0,1
1785943166,283,1,0,1
1785943167,284,1,0,1
1785943168,285,1,0,1
1785943169,286,1,0,1
1785943170,287,1,0,1
1785943171,288,1,0,1
1785943172,290,1,0,1
1785943174,291,1,0,1
1785943175,292,1,0,1
1785943176,293,1,0,1
1785943177,294,1,0,1
1785943178,295,1,0,1
1785943179,297,1,0,1
1785943181,298,1,0,1
1785943182,299,1,0,1
